Group,Subjects in group
Group 0,Subject 148,Subject 116,Subject 122,Subject 126,Subject 112,Subject 110,Subject 153
Group 1,Subject 143,Subject 155,Subject 129,Subject 134,Subject 104,Subject 124,Subject 140
Group 2,Subject 137,Subject 133,Subject 101,Subject 119,Subject 151,Subject 127,Subject 107
Group 3,Subject 113,Subject 135,Subject 109,Subject 121,Subject 102,Subject 128
Group 4,Subject 146,Subject 115,Subject 154,Subject 106,Subject 145,Subject 139
Group 5,Subject 130,Subject 138,Subject 120,Subject 150,Subject 152,Subject 111
Group 6,Subject 142,Subject 131,Subject 156,Subject 125,Subject 105
Group 7,Subject 118,Subject 103,Subject 136,Subject 108,Subject 123
Group 8,Subject 117,Subject 149
Group 9,Subject 141,Subject 114
Group 10,Subject 147,Subject 132
Group 11,Subject 100,Subject 144
